match_id,start_time,duration,first_blood_time,radiant_win
0,2015-11-05 19:01:52,39:35,00:01,True
1,2015-11-05 19:51:18,43:02,03:41,False
2,2015-11-05 23:03:06,45:16,03:10,False
3,2015-11-05 23:22:03,51:25,00:40,False
4,2015-11-06 07:53:05,31:27,00:58,True
5,2015-11-06 08:32:46,26:14,01:53,True
6,2015-11-06 09:08:58,35:24,00:04,True
7,2015-11-06 10:00:30,38:48,04:15,True
8,2015-11-06 14:11:03,33:22,00:04,False
9,2015-11-06 19:14:11,49:21,01:25,False
10,2015-11-06 19:58:46,26:02,02:23,True
11,2015-11-06 22:56:38,54:40,01:16,False
12,2015-11-06 23:43:14,06:35,00:03,False
13,2015-11-07 00:10:28,40:52,02:00,True
14,2015-11-07 00:11:36,28:48,00:27,True
15,2015-11-07 01:02:12,52:02,01:41,False
16,2015-11-07 01:44:13,55:18,04:12,False
17,2015-11-07 01:50:16,03:18,00:04,True
18,2015-11-07 02:12:05,47:00,02:48,False
19,2015-11-07 04:26:44,37:14,01:52,True
20,2015-11-07 05:27:02,38:04,03:28,True
21,2015-11-07 06:13:32,33:39,00:49,True
22,2015-11-07 09:04:26,45:54,00:04,True
23,2015-11-07 10:07:30,45:42,00:04,True
24,2015-11-07 10:28:13,49:46,01:19,False
25,2015-11-07 10:48:08,40:30,00:05,True
26,2015-11-07 11:04:40,24:59,01:48,True
27,2015-11-07 11:42:31,35:16,01:51,False
28,2015-11-07 12:27:35,36:41,00:09,True
29,2015-11-07 15:35:12,56:28,01:20,False
30,2015-11-07 15:39:14,40:20,00:02,True
31,2015-11-07 16:43:23,28:27,00:06,False
32,2015-11-07 17:29:28,29:09,00:04,True
33,2015-11-07 17:32:57,57:09,02:18,False
34,2015-11-07 18:03:23,32:33,00:47,True
35,2015-11-07 18:37:35,33:53,03:28,False
36,2015-11-07 19:30:53,29:05,00:12,True
37,2015-11-07 19:44:47,52:54,01:08,True
38,2015-11-07 20:30:43,48:06,01:55,False
39,2015-11-07 20:56:15,54:51,01:25,False
40,2015-11-07 21:26:56,49:06,04:28,False
41,2015-11-07 21:28:33,41:01,01:14,True
42,2015-11-07 21:41:57,46:38,01:42,True
43,2015-11-07 23:19:52,32:14,01:35,False
44,2015-11-08 01:14:41,12:28,03:30,True
45,2015-11-08 01:44:39,51:38,03:48,True
46,2015-11-08 02:00:50,43:19,04:34,False
47,2015-11-08 02:11:40,26:08,00:21,True
48,2015-11-08 02:56:05,47:52,01:16,True
49,2015-11-08 07:16:11,40:24,04:12,True
50,2015-11-08 08:04:28,37:28,01:50,False
51,2015-11-08 08:07:16,57:34,01:46,False
52,2015-11-08 08:36:26,55:55,00:17,False
53,2015-11-08 09:20:21,29:01,01:12,False
54,2015-11-08 10:01:37,45:23,04:05,True
55,2015-11-08 12:00:16,36:02,03:26,True
56,2015-11-08 12:37:53,58:34,00:05,True
57,2015-11-08 12:48:24,30:48,01:22,False
58,2015-11-08 13:11:40,49:43,00:44,False
59,2015-11-08 13:37:42,54:56,00:19,False
60,2015-11-08 14:17:07,48:26,00:22,False
61,2015-11-08 14:19:02,36:40,00:00,True
62,2015-11-08 14:34:15,37:52,00:56,True
63,2015-11-08 15:19:09,44:01,00:18,False
64,2015-11-08 17:18:01,38:16,03:03,True
